"Site","Impervious","Ndvi","Population_density"
"D02-BMT1",80.733176,2498.358491,3158.450862
"D02-HUP0",63.614173,3839.545455,4117.28183
"D02-JBS1",68.903883,3760.608696,14333.19673
"D02-MOP1",72.802723,2757.297872,3443.512624
"D02-RCP1",72.481383,2753.833333,2874.729404
"D02-SCP1",75.693316,2686,3714.089591
"D03-AFP1",69.503247,3147.052632,2871.900831
"D03-AMP1",64.83323,3988.44,1864.298021
"D03-CHP1",67.855426,3594.365854,2574.875824
"D03-GOM1",46.598344,4988.3125,2890.379771
"D03-NPV1",45.127689,5313.266667,1642.019109
"D03-STB1",71.816699,3594.846154,6701.242902
"D04-DNP1",54.764104,4534.269231,2232.465965
"D04-EDW0",43.783524,5779.6366995,1529.020878
"D04-RDP1",56.527597,4524.075472,1750.09215
"D04-ROS0",52.993916,4347.72973,3929.429659
"D05-BRP1",48.503924,4776.621622,1443.503892
"D05-MIA1",57.352569,4447.179487,848.102102
"D05-PRC1",40.637047,5478.422222,837.043958
"D06-KCG1",41.196794,6079.764706,11983.07433
"D07-ASC0",37.126679,6236.543478,213.710332
"D07-NOC1",46.654307,6252.018519,450.751843
"D08-CCC1",39.657374,5956.909091,885.582622
"D08-DAW0",52.163827,6783.736842,424.98257
"D08-DAW2",48.870828,6894.809524,1039.955448
"D09-CLG0",30.120043,6891.201132,125.7982395
"D09-RYW1",18.356013,8146.78,250.097498
"D09-VTC1",41.211165,6338.395349,44.746368
"D10-CAN0",63.231904,6025.97619,2.853899
"D10-MAC1",19.559653,7786.325581,19.231442
"D10-VHC1",46.342132,5544,23.617717
"J01-BBS1",73.411504,3606.729167,1072.41407
"J01-LMP1",62.006181,4621.055556,3562.898011
"J01-SEP1",79.299008,2839.888889,7065.796919
"J01-SKP1",80.811115,2427.139535,1150.884985
"J01-UIC1",77.588902,2460.653061,1068.266143
"R02-DPG1",61.298174,3712.185185,2357.208201
"R02-FRP1",68.849661,3472.36,2119.026676
"R03-AUP1",58.546914,4165.93617,2996.973217
"R03-CPG1",58.447071,4217.276596,2896.681069
"R03-EUC1",58.799431,4164.348837,2080.280956
"R03-MAP1",60.813493,3995.268293,1911.199438
"R04-MMW0",48.033173,4974.777778,816.357266
"R04-MMW3",43.061544,4708.611111,774.703724
"R04-SCH1",58.589507,3674.684211,1070.663152
"R05-FMG1",40.607358,5380.16,404.454747
"R05-GOC1",45.690725,5034.166667,968.768818
"R05-STP1",63.298701,3685.875,1390.114408
"R06-OTB1",50.779628,4622.4,1027.584688
"R06-SLT2",40.428203,5783.784314,672.261041
"R06-YOW1",43.033403,5165.770833,345.705353
"R07-FSP1",52.339172,4771.95122,684.154646
"R07-GOF1",38.192123,6293.32,367.910828
"R07-MMP1",35.935098,6058.347826,788.369422
"R07-YHR1",42.307498,5720.017857,857.783608
"R08-DAP1",34.65454,6134.857143,682.933127
"R08-PAP1",42.809935,6285.018868,556.336229
"R08-VLG1",40.263972,6579.150943,928.129027
"R08-WBK1",34.384939,6455.903846,503.661197
"R09-BLW1",42.583304,6549.075472,373.308799
"R09-CTG0",20.286596,7440.52,119.463437
"R09-LIM0",38.771875,6502.044444,492.869932
"R09-SMI1",28.836441,6823.755556,481.907808
"R10-FRM1",40.928692,6872.363636,37.627936
"R10-FRM2",40.606491,7243.04,0
"R10-WCP0",51.214286,6112.175,20.232586
"R10-WDW0",37.606414,7160.2,453.217167
"S02-BNS1",57.0193,4204.82,3398.715279
"S02-BRI1",77.488248,2640.978723,1737.792187
"S02-PIP1",74.83482,2707.652174,2464.087542
"S03-JKP2",47.839727,4668.53125,2717.329612
"S03-LCP1",66.867312,3224.283019,1106.314575
"S03-PSP1",68.587663,3176.166667,1911.211376
"S03-VIP1",67.602474,3245.203704,1508.401307
"S03-WAP1",78.801247,1896.734694,1731.929662
"S04-HAP1",67.997368,3264.528302,1848.531541
"S04-OTW1",48.035383,5765.121212,1431.770833
"S04-SSP1",59.781507,4454.277778,1141.516429
"S05-LNC1",45.994261,5593.833333,781.507967
"S05-RES1",46.025509,4962.189189,449.478802
"S05-SFP0",61.513665,4352.857143,156.8199295
"S06-CBW0",27.227385,7299.882353,242.390346
"S07-ARG2",43.021307,6188.862745,0.463249
"S07-STJ1",48.79658,7016.070175,6.801815
"S08-WGL1",36.878093,7243.096154,47.312181
"S09-KTP1",38.072905,6114.604651,8.302689
"S09-SMC1",36.984381,6049.96,173.484589
"S09-VTW0",66.426036,4212.46875,11.905296
"S10-ILC1",49.766502,5658.098039,86.762967
"S10-LEW1",37.162315,5895.225,1.045521
"S10-LPC1",39.215649,5657.666667,620.695139
"S10-LPP0",38.179916,6534.186047,187.111316
